x: 0.01  v(LU): 0.025355    v(Gaussian): 0.178301    log:0.0388765
x: 0.02  v(LU): 0.028985    v(Gaussian): 0.253403    log:-0.243138
x: 0.03  v(LU): 0.030459    v(Gaussian): 0.320318    log:-0.400497
x: 0.04  v(LU): 0.030666    v(Gaussian): 0.379825    log:-0.506988
x: 0.05  v(LU): 0.030095    v(Gaussian): 0.432629    log:-0.585735
x: 0.06  v(LU): 0.029046    v(Gaussian): 0.479367    log:-0.64704
x: 0.07  v(LU): 0.027707    v(Gaussian): 0.520617    log:-0.696395
x: 0.08  v(LU): 0.026205    v(Gaussian): 0.556901    log:-0.73708
x: 0.09  v(LU): 0.024623    v(Gaussian): 0.588692    log:-0.771209
x: 0.1  v(LU): 0.023020    v(Gaussian): 0.616417    log:-0.800226
x: 0.11  v(LU): 0.021434    v(Gaussian): 0.640464    log:-0.825158
x: 0.12  v(LU): 0.019891    v(Gaussian): 0.661182    log:-0.846766
x: 0.13  v(LU): 0.018410    v(Gaussian): 0.678887    log:-0.865623
x: 0.14  v(LU): 0.016999    v(Gaussian): 0.693868    log:-0.882178
x: 0.15  v(LU): 0.015666    v(Gaussian): 0.706383    log:-0.896783
x: 0.16  v(LU): 0.014414    v(Gaussian): 0.716666    log:-0.909722
x: 0.17  v(LU): 0.013243    v(Gaussian): 0.72493    log:-0.921228
x: 0.18  v(LU): 0.012152    v(Gaussian): 0.731367    log:-0.93149
x: 0.19  v(LU): 0.011139    v(Gaussian): 0.736152    log:-0.940669
x: 0.2  v(LU): 0.010200    v(Gaussian): 0.739441    log:-0.948899
x: 0.21  v(LU): 0.009332    v(Gaussian): 0.741376    log:-0.956294
x: 0.22  v(LU): 0.008532    v(Gaussian): 0.742087    log:-0.962952
x: 0.23  v(LU): 0.007795    v(Gaussian): 0.74169    log:-0.968955
x: 0.24  v(LU): 0.007117    v(Gaussian): 0.74029    log:-0.974376
x: 0.25  v(LU): 0.006495    v(Gaussian): 0.737983    log:-0.979279
x: 0.26  v(LU): 0.005924    v(Gaussian): 0.734855    log:-0.983719
x: 0.27  v(LU): 0.005400    v(Gaussian): 0.730985    log:-0.987743
x: 0.28  v(LU): 0.004921    v(Gaussian): 0.726442    log:-0.991395
x: 0.29  v(LU): 0.004483    v(Gaussian): 0.721291    log:-0.994712
