x: 0.0001   Actual: 0.0008995047  Calculated(LU): 0.001799829    Calculated(Gaussian): 0.001799829    log:0.0003956157
x: 0.0002   Actual: 0.00179801  Calculated(LU): 0.002698245    Calculated(Gaussian): 0.002698245    log:-0.3004366
x: 0.0003   Actual: 0.002695518  Calculated(LU): 0.003595662    Calculated(Gaussian): 0.003595662    log:-0.4763301
x: 0.0004   Actual: 0.003592029  Calculated(LU): 0.004492083    Calculated(Gaussian): 0.004492083    log:-0.6010712
x: 0.0005   Actual: 0.004487544  Calculated(LU): 0.005387508    Calculated(Gaussian): 0.005387508    log:-0.6977835
x: 0.0006   Actual: 0.005382063  Calculated(LU): 0.006281937    Calculated(Gaussian): 0.006281937    log:-0.7767671
x: 0.0007   Actual: 0.006275589  Calculated(LU): 0.007175373    Calculated(Gaussian): 0.007175373    log:-0.8435163
x: 0.0008   Actual: 0.007168121  Calculated(LU): 0.008067815    Calculated(Gaussian): 0.008067815    log:-0.9013107
x: 0.0009   Actual: 0.008059662  Calculated(LU): 0.008959266    Calculated(Gaussian): 0.008959266    log:-0.9522657
x: 0.001   Actual: 0.008950212  Calculated(LU): 0.009849725    Calculated(Gaussian): 0.009849725    log:-0.9978257
x: 0.0011   Actual: 0.009839771  Calculated(LU): 0.01073919    Calculated(Gaussian): 0.01073919    log:-1.039021
x: 0.0012   Actual: 0.01072834  Calculated(LU): 0.01162767    Calculated(Gaussian): 0.01162767    log:-1.076612
x: 0.0013   Actual: 0.01161592  Calculated(LU): 0.01251517    Calculated(Gaussian): 0.01251517    log:-1.111177
x: 0.0014   Actual: 0.01250252  Calculated(LU): 0.01340167    Calculated(Gaussian): 0.01340167    log:-1.143164
x: 0.0015   Actual: 0.01338813  Calculated(LU): 0.01428719    Calculated(Gaussian): 0.01428719    log:-1.17293
x: 0.0016   Actual: 0.01427275  Calculated(LU): 0.01517173    Calculated(Gaussian): 0.01517173    log:-1.200761
x: 0.0017   Actual: 0.01515639  Calculated(LU): 0.01605528    Calculated(Gaussian): 0.01605528    log:-1.226893
x: 0.0018   Actual: 0.01603905  Calculated(LU): 0.01693784    Calculated(Gaussian): 0.01693784    log:-1.251519
x: 0.0019   Actual: 0.01692072  Calculated(LU): 0.01781943    Calculated(Gaussian): 0.01781943    log:-1.274803
x: 0.002   Actual: 0.01780142  Calculated(LU): 0.01870003    Calculated(Gaussian): 0.01870003    log:-1.296882
x: 0.0021   Actual: 0.01868113  Calculated(LU): 0.01957965    Calculated(Gaussian): 0.01957965    log:-1.317874
x: 0.0022   Actual: 0.01955986  Calculated(LU): 0.0204583    Calculated(Gaussian): 0.0204583    log:-1.337881
x: 0.0023   Actual: 0.02043762  Calculated(LU): 0.02133596    Calculated(Gaussian): 0.02133596    log:-1.356989
x: 0.0024   Actual: 0.0213144  Calculated(LU): 0.02221265    Calculated(Gaussian): 0.02221265    log:-1.375275
x: 0.0025   Actual: 0.0221902  Calculated(LU): 0.02308836    Calculated(Gaussian): 0.02308836    log:-1.392807
x: 0.0026   Actual: 0.02306503  Calculated(LU): 0.0239631    Calculated(Gaussian): 0.0239631    log:-1.409643
x: 0.0027   Actual: 0.02393888  Calculated(LU): 0.02483686    Calculated(Gaussian): 0.02483686    log:-1.425836
x: 0.0028   Actual: 0.02481176  Calculated(LU): 0.02570965    Calculated(Gaussian): 0.02570965    log:-1.441434
x: 0.0029   Actual: 0.02568367  Calculated(LU): 0.02658147    Calculated(Gaussian): 0.02658147    log:-1.456477
x: 0.003   Actual: 0.0265546  Calculated(LU): 0.02745231    Calculated(Gaussian): 0.02745231    log:-1.471003
x: 0.0031   Actual: 0.02742457  Calculated(LU): 0.02832219    Calculated(Gaussian): 0.02832219    log:-1.485047
x: 0.0032   Actual: 0.02829356  Calculated(LU): 0.02919109    Calculated(Gaussian): 0.02919109    log:-1.498638
x: 0.0033   Actual: 0.02916159  Calculated(LU): 0.03005903    Calculated(Gaussian): 0.03005903    log:-1.511805
x: 0.0034   Actual: 0.03002865  Calculated(LU): 0.030926    Calculated(Gaussian): 0.030926    log:-1.524574
x: 0.0035   Actual: 0.03089474  Calculated(LU): 0.031792    Calculated(Gaussian): 0.031792    log:-1.536966
x: 0.0036   Actual: 0.03175987  Calculated(LU): 0.03265704    Calculated(Gaussian): 0.03265704    log:-1.549004
x: 0.0037   Actual: 0.03262403  Calculated(LU): 0.03352111    Calculated(Gaussian): 0.03352111    log:-1.560706
x: 0.0038   Actual: 0.03348723  Calculated(LU): 0.03438422    Calculated(Gaussian): 0.03438422    log:-1.572092
x: 0.0039   Actual: 0.03434947  Calculated(LU): 0.03524637    Calculated(Gaussian): 0.03524637    log:-1.583176
x: 0.004   Actual: 0.03521074  Calculated(LU): 0.03610755    Calculated(Gaussian): 0.03610755    log:-1.593975
x: 0.0041   Actual: 0.03607106  Calculated(LU): 0.03696778    Calculated(Gaussian): 0.03696778    log:-1.604502
x: 0.0042   Actual: 0.03693041  Calculated(LU): 0.03782704    Calculated(Gaussian): 0.03782704    log:-1.614771
x: 0.0043   Actual: 0.03778881  Calculated(LU): 0.03868534    Calculated(Gaussian): 0.03868534    log:-1.624794
x: 0.0044   Actual: 0.03864624  Calculated(LU): 0.03954269    Calculated(Gaussian): 0.03954269    log:-1.634581
x: 0.0045   Actual: 0.03950272  Calculated(LU): 0.04039908    Calculated(Gaussian): 0.04039908    log:-1.644145
x: 0.0046   Actual: 0.04035825  Calculated(LU): 0.04125452    Calculated(Gaussian): 0.04125452    log:-1.653494
x: 0.0047   Actual: 0.04121282  Calculated(LU): 0.04210899    Calculated(Gaussian): 0.04210899    log:-1.662637
x: 0.0048   Actual: 0.04206643  Calculated(LU): 0.04296252    Calculated(Gaussian): 0.04296252    log:-1.671584
x: 0.0049   Actual: 0.04291909  Calculated(LU): 0.04381509    Calculated(Gaussian): 0.04381509    log:-1.680343
x: 0.005   Actual: 0.0437708  Calculated(LU): 0.04466671    Calculated(Gaussian): 0.04466671    log:-1.688921
x: 0.0051   Actual: 0.04462156  Calculated(LU): 0.04551738    Calculated(Gaussian): 0.04551738    log:-1.697325
x: 0.0052   Actual: 0.04547137  Calculated(LU): 0.0463671    Calculated(Gaussian): 0.0463671    log:-1.705562
x: 0.0053   Actual: 0.04632023  Calculated(LU): 0.04721587    Calculated(Gaussian): 0.04721587    log:-1.713638
x: 0.0054   Actual: 0.04716814  Calculated(LU): 0.04806369    Calculated(Gaussian): 0.04806369    log:-1.72156
x: 0.0055   Actual: 0.0480151  Calculated(LU): 0.04891056    Calculated(Gaussian): 0.04891056    log:-1.729332
x: 0.0056   Actual: 0.04886112  Calculated(LU): 0.04975649    Calculated(Gaussian): 0.04975649    log:-1.736962
x: 0.0057   Actual: 0.04970619  Calculated(LU): 0.05060147    Calculated(Gaussian): 0.05060147    log:-1.744453
x: 0.0058   Actual: 0.05055032  Calculated(LU): 0.0514455    Calculated(Gaussian): 0.0514455    log:-1.75181
x: 0.0059   Actual: 0.0513935  Calculated(LU): 0.0522886    Calculated(Gaussian): 0.0522886    log:-1.759038
x: 0.006   Actual: 0.05223574  Calculated(LU): 0.05313075    Calculated(Gaussian): 0.05313075    log:-1.766141
x: 0.0061   Actual: 0.05307704  Calculated(LU): 0.05397195    Calculated(Gaussian): 0.05397195    log:-1.773124
x: 0.0062   Actual: 0.05391739  Calculated(LU): 0.05481222    Calculated(Gaussian): 0.05481222    log:-1.77999
x: 0.0063   Actual: 0.05475681  Calculated(LU): 0.05565155    Calculated(Gaussian): 0.05565155    log:-1.786743
x: 0.0064   Actual: 0.05559529  Calculated(LU): 0.05648994    Calculated(Gaussian): 0.05648994    log:-1.793386
x: 0.0065   Actual: 0.05643283  Calculated(LU): 0.05732739    Calculated(Gaussian): 0.05732739    log:-1.799924
x: 0.0066   Actual: 0.05726944  Calculated(LU): 0.0581639    Calculated(Gaussian): 0.0581639    log:-1.806359
x: 0.0067   Actual: 0.0581051  Calculated(LU): 0.05899948    Calculated(Gaussian): 0.05899948    log:-1.812694
x: 0.0068   Actual: 0.05893984  Calculated(LU): 0.05983412    Calculated(Gaussian): 0.05983412    log:-1.818932
x: 0.0069   Actual: 0.05977363  Calculated(LU): 0.06066783    Calculated(Gaussian): 0.06066783    log:-1.825077
x: 0.007   Actual: 0.0606065  Calculated(LU): 0.0615006    Calculated(Gaussian): 0.0615006    log:-1.83113
x: 0.0071   Actual: 0.06143843  Calculated(LU): 0.06233245    Calculated(Gaussian): 0.06233245    log:-1.837095
x: 0.0072   Actual: 0.06226943  Calculated(LU): 0.06316336    Calculated(Gaussian): 0.06316336    log:-1.842973
x: 0.0073   Actual: 0.0630995  Calculated(LU): 0.06399334    Calculated(Gaussian): 0.06399334    log:-1.848768
x: 0.0074   Actual: 0.06392864  Calculated(LU): 0.06482239    Calculated(Gaussian): 0.06482239    log:-1.854481
x: 0.0075   Actual: 0.06475685  Calculated(LU): 0.06565051    Calculated(Gaussian): 0.06565051    log:-1.860115
x: 0.0076   Actual: 0.06558414  Calculated(LU): 0.0664777    Calculated(Gaussian): 0.0664777    log:-1.865672
x: 0.0077   Actual: 0.0664105  Calculated(LU): 0.06730397    Calculated(Gaussian): 0.06730397    log:-1.871154
x: 0.0078   Actual: 0.06723593  Calculated(LU): 0.06812931    Calculated(Gaussian): 0.06812931    log:-1.876562
x: 0.0079   Actual: 0.06806043  Calculated(LU): 0.06895373    Calculated(Gaussian): 0.06895373    log:-1.881899
x: 0.008   Actual: 0.06888402  Calculated(LU): 0.06977722    Calculated(Gaussian): 0.06977722    log:-1.887167
x: 0.0081   Actual: 0.06970668  Calculated(LU): 0.07059979    Calculated(Gaussian): 0.07059979    log:-1.892367
x: 0.0082   Actual: 0.07052841  Calculated(LU): 0.07142144    Calculated(Gaussian): 0.07142144    log:-1.8975
x: 0.0083   Actual: 0.07134923  Calculated(LU): 0.07224216    Calculated(Gaussian): 0.07224216    log:-1.902569
x: 0.0084   Actual: 0.07216913  Calculated(LU): 0.07306197    Calculated(Gaussian): 0.07306197    log:-1.907575
x: 0.0085   Actual: 0.0729881  Calculated(LU): 0.07388086    Calculated(Gaussian): 0.07388086    log:-1.91252
x: 0.0086   Actual: 0.07380616  Calculated(LU): 0.07469882    Calculated(Gaussian): 0.07469882    log:-1.917404
x: 0.0087   Actual: 0.0746233  Calculated(LU): 0.07551587    Calculated(Gaussian): 0.07551587    log:-1.92223
x: 0.0088   Actual: 0.07543952  Calculated(LU): 0.07633201    Calculated(Gaussian): 0.07633201    log:-1.926998
x: 0.0089   Actual: 0.07625483  Calculated(LU): 0.07714723    Calculated(Gaussian): 0.07714723    log:-1.93171
x: 0.009   Actual: 0.07706922  Calculated(LU): 0.07796153    Calculated(Gaussian): 0.07796153    log:-1.936368
x: 0.0091   Actual: 0.0778827  Calculated(LU): 0.07877492    Calculated(Gaussian): 0.07877492    log:-1.940972
x: 0.0092   Actual: 0.07869527  Calculated(LU): 0.07958739    Calculated(Gaussian): 0.07958739    log:-1.945523
x: 0.0093   Actual: 0.07950692  Calculated(LU): 0.08039896    Calculated(Gaussian): 0.08039896    log:-1.950023
x: 0.0094   Actual: 0.08031766  Calculated(LU): 0.08120961    Calculated(Gaussian): 0.08120961    log:-1.954473
x: 0.0095   Actual: 0.0811275  Calculated(LU): 0.08201935    Calculated(Gaussian): 0.08201935    log:-1.958874
x: 0.0096   Actual: 0.08193642  Calculated(LU): 0.08282818    Calculated(Gaussian): 0.08282818    log:-1.963227
x: 0.0097   Actual: 0.08274443  Calculated(LU): 0.08363611    Calculated(Gaussian): 0.08363611    log:-1.967533
x: 0.0098   Actual: 0.08355154  Calculated(LU): 0.08444312    Calculated(Gaussian): 0.08444312    log:-1.971792
x: 0.0099   Actual: 0.08435774  Calculated(LU): 0.08524923    Calculated(Gaussian): 0.08524923    log:-1.976007
x: 0.01   Actual: 0.08516304  Calculated(LU): 0.08605444    Calculated(Gaussian): 0.08605444    log:-1.980177
x: 0.0101   Actual: 0.08596743  Calculated(LU): 0.08685874    Calculated(Gaussian): 0.08685874    log:-1.984304
x: 0.0102   Actual: 0.08677091  Calculated(LU): 0.08766213    Calculated(Gaussian): 0.08766213    log:-1.988388
x: 0.0103   Actual: 0.08757349  Calculated(LU): 0.08846463    Calculated(Gaussian): 0.08846463    log:-1.99243
x: 0.0104   Actual: 0.08837517  Calculated(LU): 0.08926622    Calculated(Gaussian): 0.08926622    log:-1.996432
x: 0.0105   Actual: 0.08917595  Calculated(LU): 0.09006691    Calculated(Gaussian): 0.09006691    log:-2.000393
x: 0.0106   Actual: 0.08997583  Calculated(LU): 0.0908667    Calculated(Gaussian): 0.0908667    log:-2.004315
x: 0.0107   Actual: 0.09077481  Calculated(LU): 0.09166559    Calculated(Gaussian): 0.09166559    log:-2.008199
x: 0.0108   Actual: 0.09157289  Calculated(LU): 0.09246358    Calculated(Gaussian): 0.09246358    log:-2.012044
x: 0.0109   Actual: 0.09237008  Calculated(LU): 0.09326067    Calculated(Gaussian): 0.09326067    log:-2.015852
x: 0.011   Actual: 0.09316636  Calculated(LU): 0.09405687    Calculated(Gaussian): 0.09405687    log:-2.019624
x: 0.0111   Actual: 0.09396176  Calculated(LU): 0.09485217    Calculated(Gaussian): 0.09485217    log:-2.02336
x: 0.0112   Actual: 0.09475625  Calculated(LU): 0.09564657    Calculated(Gaussian): 0.09564657    log:-2.027061
x: 0.0113   Actual: 0.09554985  Calculated(LU): 0.09644008    Calculated(Gaussian): 0.09644008    log:-2.030727
x: 0.0114   Actual: 0.09634256  Calculated(LU): 0.0972327    Calculated(Gaussian): 0.0972327    log:-2.034359
x: 0.0115   Actual: 0.09713438  Calculated(LU): 0.09802443    Calculated(Gaussian): 0.09802443    log:-2.037958
x: 0.0116   Actual: 0.0979253  Calculated(LU): 0.09881526    Calculated(Gaussian): 0.09881526    log:-2.041524
x: 0.0117   Actual: 0.09871534  Calculated(LU): 0.09960521    Calculated(Gaussian): 0.09960521    log:-2.045057
x: 0.0118   Actual: 0.09950448  Calculated(LU): 0.1003943    Calculated(Gaussian): 0.1003943    log:-2.048559
x: 0.0119   Actual: 0.1002927  Calculated(LU): 0.1011824    Calculated(Gaussian): 0.1011824    log:-2.05203
x: 0.012   Actual: 0.1010801  Calculated(LU): 0.1019697    Calculated(Gaussian): 0.1019697    log:-2.05547
x: 0.0121   Actual: 0.1018666  Calculated(LU): 0.1027561    Calculated(Gaussian): 0.1027561    log:-2.05888
x: 0.0122   Actual: 0.1026522  Calculated(LU): 0.1035416    Calculated(Gaussian): 0.1035416    log:-2.062261
x: 0.0123   Actual: 0.1034369  Calculated(LU): 0.1043262    Calculated(Gaussian): 0.1043262    log:-2.065612
x: 0.0124   Actual: 0.1042207  Calculated(LU): 0.10511    Calculated(Gaussian): 0.10511    log:-2.068935
x: 0.0125   Actual: 0.1050037  Calculated(LU): 0.1058928    Calculated(Gaussian): 0.1058928    log:-2.072229
x: 0.0126   Actual: 0.1057857  Calculated(LU): 0.1066748    Calculated(Gaussian): 0.1066748    log:-2.075496
x: 0.0127   Actual: 0.1065669  Calculated(LU): 0.1074559    Calculated(Gaussian): 0.1074559    log:-2.078735
x: 0.0128   Actual: 0.1073472  Calculated(LU): 0.1082361    Calculated(Gaussian): 0.1082361    log:-2.081947
x: 0.0129   Actual: 0.1081266  Calculated(LU): 0.1090154    Calculated(Gaussian): 0.1090154    log:-2.085133
x: 0.013   Actual: 0.1089052  Calculated(LU): 0.1097939    Calculated(Gaussian): 0.1097939    log:-2.088293
x: 0.0131   Actual: 0.1096828  Calculated(LU): 0.1105714    Calculated(Gaussian): 0.1105714    log:-2.091427
x: 0.0132   Actual: 0.1104596  Calculated(LU): 0.1113481    Calculated(Gaussian): 0.1113481    log:-2.094536
